product_id,name,category,brand,price,currency,description,features,materials,capacity,compatibility,variants,stock,sku,url,image_url,tags
P011,FleetStep Running Shoes,Footwear,FleetStep,89.0,EUR,Lightweight neutral trainers designed for daily runs and gym sessions.,Neutral;Cushioned;Breathable mesh,Mesh;EVA foam,,,Size: 40-46; Color: Blue/Black,120,FS-RUN-M,https://example.com/products/p011,https://example.com/images/p011.jpg,running;shoes;fitness
P012,TimeFlow Smartwatch,Wearables,TimeFlow,249.0,EUR,"GPS-enabled smartwatch with heart-rate tracking, NFC payments, and 5ATM water resistance.",GPS;HR;NFC Pay;5ATM,Aluminum;Silicone strap,,iOS;Android,Color: Black/Silver,65,TF-WATCH-S,https://example.com/products/p012,https://example.com/images/p012.jpg,smartwatch;wearable;fitness
P013,NorthPeak Camping Tent 3P,Outdoors,NorthPeak,219.0,EUR,"3-person, 3-season tent with two doors and quick-pitch color-coded poles.",3-season;2 doors;Fast pitch;Vestibules,Polyester;Aluminum poles,3 person,,Color: Green/Orange,18,NP-TENT-3P,https://example.com/products/p013,https://example.com/images/p013.jpg,camping;tent;outdoor
P014,"LeafRead 6"" E‑reader 8GB",Electronics,LeafRead,139.0,EUR,Glare-free e‑ink reader with adjustable backlight and weeks-long battery life.,E-ink;Backlight;8GB;Wi‑Fi,Plastic,8 GB,ePub;PDF;Mobi,Color: Black,40,LR-6-8GB,https://example.com/products/p014,https://example.com/images/p014.jpg,ereader;books;electronics
P015,HyperClaw Ultralight Gaming Mouse,Peripherals,HyperClaw,49.0,EUR,High-precision lightweight mouse with 26k DPI sensor and customizable RGB.,26k DPI;Ultralight;RGB;6 buttons,Plastic,,Windows;macOS,Color: Black/White,95,HC-MSE-UL,https://example.com/products/p015,https://example.com/images/p015.jpg,gaming;mouse;peripherals
P016,KeyForge 75% Mechanical Keyboard,Peripherals,KeyForge,119.0,EUR,Hot-swappable 75% keyboard with RGB and aluminum top plate.,Hot-swap;75%;RGB;NKRO,ABS;Aluminum top,,Windows;macOS,Switch: Linear/Tactile,55,KF-MECH-75,https://example.com/products/p016,https://example.com/images/p016.jpg,keyboard;mechanical;peripherals
P017,FlashWing Portable SSD 1TB,Storage,FlashWing,109.0,EUR,Pocket-sized NVMe SSD with USB 3.2 Gen2 and up to 1000MB/s speeds.,USB 3.2 Gen2;Up to 1000MB/s;Shock-resistant,Aluminum,1 TB,USB-C,,88,FW-SSD-1T,https://example.com/products/p017,https://example.com/images/p017.jpg,ssd;storage;portable
P018,UrbanNest City Baby Stroller,Baby,UrbanNest,299.0,EUR,"Compact stroller with one-hand fold, suspension, and reversible seat.",One-hand fold;Suspension;Reversible seat,Aluminum;Fabric,Up to 22 kg,Car seat adapters (optional),Color: Grey/Sand,12,UN-STR-CTY,https://example.com/products/p018,https://example.com/images/p018.jpg,stroller;baby;urban
P019,SitRight Ergonomic Desk Chair,Furniture,SitRight,229.0,EUR,Mesh office chair with adjustable lumbar support and arms for all-day comfort.,Lumbar support;Adjustable arms;Tilt lock,Mesh;Steel,,,Color: Black,30,SR-CHR-ERG,https://example.com/products/p019,https://example.com/images/p019.jpg,chair;ergonomic;office
P020,SmilePro Sonic Electric Toothbrush,Personal Care,SmilePro,59.0,EUR,"Sonic toothbrush with 2-week battery life, pressure sensor, and built-in timer.",Sonic;2-week battery;Pressure sensor;Timer,Plastic,,Standard brush heads,Color: White/Mint,140,SP-ETB-SON,https://example.com/products/p020,https://example.com/images/p020.jpg,toothbrush;personal-care;oral
